campaign,direction,n_label,method,deployment_coverage,clear_harmful_exposure,ambiguous_deployment_exposure,clear_beneficial_deployment_exposure,sign_agreement,hybrid_value,reference_clear_policy_value,hybrid_minus_reference_clear_policy,reference_sign_selective_value,hybrid_minus_reference_sign_selective,clear_reference_weight,ambiguous_reference_weight,runner_revision
all,bts_to_random,10000,bb_dr,0.02468558303821563,0.023472367639811653,0.0012132153984039794,0.0,0.9423076923076923,0.004910695242268912,0.004953235110226753,-4.2539867957840834e-05,0.004953235110226753,-4.2539867957840834e-05,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,10000,bootstrap_dr,0.008377480523469823,0.007811250707951125,0.0005662298155186965,0.0,0.9807692307692308,0.004938703992595041,0.004953235110226753,-1.4531117631712883e-05,0.004953235110226753,-1.4531117631712883e-05,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,100000,bb_dr,0.010787077795499363,0.01046280213409623,0.0003242756614031346,0.0,0.9807692307692308,0.004935974919375053,0.004953235110226753,-1.7260190851700435e-05,0.004953235110226753,-1.7260190851700435e-05,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,100000,bootstrap_dr,8.110168665145544e-05,8.110168665145544e-05,0.0,0.0,0.9961538461538462,0.0049528019309489765,0.004953235110226753,-4.331792777769426e-07,0.004953235110226753,-4.331792777769426e-07,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,250000,bb_dr,0.00048585273873765096,0.0001622033733029109,0.0003236493654347401,0.0,0.9923076923076923,0.004951408239756269,0.004953235110226753,-1.8268704704846664e-06,0.004953235110226753,-1.8268704704846664e-06,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,250000,bootstrap_dr,0.0,0.0,0.0,0.0,1.0,0.004953235110226753,0.004953235110226753,0.0,0.004953235110226753,0.0,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,50000,bb_dr,0.007649815639586187,0.006840692225999337,0.0008091234135868501,0.0,0.976923076923077,0.004940175231299704,0.004953235110226753,-1.3059878927049792e-05,0.004953235110226753,-1.3059878927049792e-05,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,50000,bootstrap_dr,0.0005666085061042374,0.0001622033733029109,0.0004044051328013265,0.0,0.9923076923076923,0.004951163929262283,0.004953235110226753,-2.0711809644700323e-06,0.004953235110226753,-2.0711809644700323e-06,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,500000,bb_dr,0.0001622033733029109,0.0001622033733029109,0.0,0.0,0.9923076923076923,0.0049523687516712,0.004953235110226753,-8.663585555538852e-07,0.004953235110226753,-8.663585555538852e-07,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,500000,bootstrap_dr,8.110168665145544e-05,8.110168665145544e-05,0.0,0.0,0.9961538461538462,0.0049528019309489765,0.004953235110226753,-4.331792777769426e-07,0.004953235110226753,-4.331792777769426e-07,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
