campaign,direction,estimator,n_clear_group_records,mae_vs_onpolicy_reference,signed_bias_vs_reference,sign_agreement,mean_estimate,mean_reference
all,bts_to_random,dm,13,0.06357024428599749,-0.042933393642325256,0.6923076923076923,-0.04473556215676721,-0.001802168514441885
all,bts_to_random,dr,13,0.09370176626563843,-0.0653499408677178,0.6153846153846154,-0.06715210938215972,-0.001802168514441885
all,bts_to_random,ips,13,0.0006693001437020319,0.0001858144034700955,1.0,-0.001616354110971777,-0.001802168514441885
all,bts_to_random,snips,13,0.0006968516025485522,4.6944756459709295e-05,1.0,-0.001755223757982154,-0.001802168514441885
all,bts_to_random,switch_dr,13,0.08993659342541463,0.03612039631811376,0.3076923076923077,0.03431822780367182,-0.001802168514441885
all,random_to_bts,dm,13,0.07471378954086441,-0.03969340858181002,0.46153846153846156,-0.03789124006736806,0.001802168514441885
all,random_to_bts,dr,13,0.05947249029059691,-0.02975943973529412,0.38461538461538464,-0.027957271220852207,0.001802168514441885
all,random_to_bts,ips,13,0.0008409083925403021,-0.0006163808993881671,0.9230769230769231,0.0011857876150536848,0.001802168514441885
all,random_to_bts,snips,13,0.0008359489717827638,-0.0006099250728706693,0.9230769230769231,0.0011922434415711925,0.001802168514441885
all,random_to_bts,switch_dr,13,0.1311707907436945,0.08286956416589954,0.9230769230769231,0.08467173268034144,0.001802168514441885
men,bts_to_random,dm,7,0.021678433562018786,0.019167294850437815,0.2857142857142857,0.016900969543452694,-0.0022663253069850715
men,bts_to_random,dr,7,0.0304024937490688,0.012972156540181088,0.2857142857142857,0.010705831233195958,-0.0022663253069850715
men,bts_to_random,ips,7,0.0009972293907497714,0.0009972293907497714,1.0,-0.0012690959162352572,-0.0022663253069850715
men,bts_to_random,snips,7,0.0010195397194807,0.0009766648212977,1.0,-0.0012896604856873714,-0.0022663253069850715
men,bts_to_random,switch_dr,7,0.10095112684833565,0.10095112684833565,0.0,0.09868480154135052,-0.0022663253069850715
men,random_to_bts,dm,10,0.04332523772321801,0.03993152090184693,0.8,0.02953849234618246,0.0022663253069850715
men,random_to_bts,dr,10,0.05998494574560178,0.05351747611126422,0.8,0.040186222307669536,0.0022663253069850715
men,random_to_bts,ips,10,0.0019551376558894426,-0.0019551376558894426,0.6,0.0006415573588690205,0.0022663253069850715
men,random_to_bts,snips,10,0.0018373579137964716,-0.0018373579137964716,0.6,0.0007508580344999201,0.0022663253069850715
men,random_to_bts,switch_dr,10,0.08277478908847825,0.0763073194541407,0.8,0.08357323235114503,0.0022663253069850715
women,bts_to_random,dm,6,0.043553611979170924,0.00459518988532975,0.5,0.0029165948217268994,-0.0016785950636028335
women,bts_to_random,dr,6,0.053166274880191766,-0.0007519845817714974,0.5,-0.002430579645374399,-0.0016785950636028335
women,bts_to_random,ips,6,0.00042466001989095243,-0.00023453442468678097,1.0,-0.0019131294882896,-0.0016785950636028335
women,bts_to_random,snips,6,0.0006093486545615,-0.00038088403236336666,1.0,-0.0020594790959662167,-0.0016785950636028335
women,bts_to_random,switch_dr,6,0.08089581061601744,0.07608046245173025,0.16666666666666666,0.07440186738812736,-0.0016785950636028335
women,random_to_bts,dm,9,0.05728303530130873,-0.05728303530130873,0.3333333333333333,-0.09243216598406429,0.0016785950636028335
women,random_to_bts,dr,9,0.044157153484236183,-0.03437567665799739,0.3333333333333333,-0.057330412690844,0.0016785950636028335
women,random_to_bts,ips,9,0.0006371156333134412,-0.000487768916330384,0.6666666666666666,0.001731023562839178,0.0016785950636028335
women,random_to_bts,snips,9,0.0006384780742356713,-0.00047681031678622874,0.6666666666666666,0.0017285720454431443,0.0016785950636028335
women,random_to_bts,switch_dr,9,0.06278026240376443,0.00879480715122395,0.4444444444444444,-0.029273242361307763,0.0016785950636028335
