campaign,direction,ess_fraction_threshold,deployment_coverage,clear_harmful_exposure,clear_beneficial_exposure,ambiguous_deployment_exposure,n_deployed_groups,clear_reference_weight,ambiguous_reference_weight
all,bts_to_random,0.0,0.20922909739026108,0.20599260373591377,0.0,0.003236493654347302,5,0.9967635063456526,0.003236493654347302
all,bts_to_random,0.01,0.133542831762265,0.1303063381079177,0.0,0.003236493654347302,4,0.9967635063456526,0.003236493654347302
all,bts_to_random,0.025,0.004858527387376403,0.0016220337330291011,0.0,0.003236493654347302,3,0.9967635063456526,0.003236493654347302
all,bts_to_random,0.05,0.001621378307015601,0.0,0.0,0.001621378307015601,1,0.9967635063456526,0.003236493654347302
all,bts_to_random,0.1,0.0,0.0,0.0,0.0,0,0.9967635063456526,0.003236493654347302
all,random_to_bts,0.0,0.5279897858410069,0.0,0.5279897858410069,0.0,5,0.9967635063456526,0.003236493654347302
all,random_to_bts,0.01,0.5279897858410069,0.0,0.5279897858410069,0.0,5,0.9967635063456526,0.003236493654347302
all,random_to_bts,0.025,0.5279897858410069,0.0,0.5279897858410069,0.0,5,0.9967635063456526,0.003236493654347302
all,random_to_bts,0.05,0.5279897858410069,0.0,0.5279897858410069,0.0,5,0.9967635063456526,0.003236493654347302
all,random_to_bts,0.1,0.5279897858410069,0.0,0.5279897858410069,0.0,5,0.9967635063456526,0.003236493654347302
men,bts_to_random,0.0,0.7585833482441569,0.7260262947350282,0.0,0.03255705350912862,5,0.8588493330826346,0.14115066691736539
men,bts_to_random,0.01,0.25830881478620155,0.24202937860403323,0.0,0.01627943618216831,2,0.8588493330826346,0.14115066691736539
men,bts_to_random,0.025,0.25830881478620155,0.24202937860403323,0.0,0.01627943618216831,2,0.8588493330826346,0.14115066691736539
men,bts_to_random,0.05,0.01627943618216831,0.0,0.0,0.01627943618216831,1,0.8588493330826346,0.14115066691736539
men,bts_to_random,0.1,0.0,0.0,0.0,0.0,0,0.8588493330826346,0.14115066691736539
men,random_to_bts,0.0,0.817339419526002,0.0,0.7838095058375023,0.03352991368849962,6,0.8588493330826346,0.14115066691736539
men,random_to_bts,0.01,0.817339419526002,0.0,0.7838095058375023,0.03352991368849962,6,0.8588493330826346,0.14115066691736539
men,random_to_bts,0.025,0.817339419526002,0.0,0.7838095058375023,0.03352991368849962,6,0.8588493330826346,0.14115066691736539
men,random_to_bts,0.05,0.817339419526002,0.0,0.7838095058375023,0.03352991368849962,6,0.8588493330826346,0.14115066691736539
men,random_to_bts,0.1,0.817339419526002,0.0,0.7838095058375023,0.03352991368849962,6,0.8588493330826346,0.14115066691736539
women,bts_to_random,0.0,0.32980025615056596,0.32980025615056596,0.0,0.0,2,0.9893808493186355,0.010619150681364703
women,bts_to_random,0.01,0.32980025615056596,0.32980025615056596,0.0,0.0,2,0.9893808493186355,0.010619150681364703
women,bts_to_random,0.025,0.06229329453212682,0.06229329453212682,0.0,0.0,1,0.9893808493186355,0.010619150681364703
women,bts_to_random,0.05,0.0,0.0,0.0,0.0,0,0.9893808493186355,0.010619150681364703
women,bts_to_random,0.1,0.0,0.0,0.0,0.0,0,0.9893808493186355,0.010619150681364703
women,random_to_bts,0.0,0.5420988505948827,0.0,0.5350190215864121,0.007079829008470603,4,0.9893808493186355,0.010619150681364703
women,random_to_bts,0.01,0.5420988505948827,0.0,0.5350190215864121,0.007079829008470603,4,0.9893808493186355,0.010619150681364703
women,random_to_bts,0.025,0.5420988505948827,0.0,0.5350190215864121,0.007079829008470603,4,0.9893808493186355,0.010619150681364703
women,random_to_bts,0.05,0.5420988505948827,0.0,0.5350190215864121,0.007079829008470603,4,0.9893808493186355,0.010619150681364703
women,random_to_bts,0.1,0.5420988505948827,0.0,0.5350190215864121,0.007079829008470603,4,0.9893808493186355,0.010619150681364703
