campaign,direction,n,n_label,n_local_group_records,mean_local_ess_fraction,median_local_ess_fraction,mean_local_weighted_ess_fraction,median_local_w_q99,max_local_w_max,min_local_pscore,global_ess_fraction,global_weighted_ess_fraction,global_w_q99,global_w_max,runner_revision
all,bts_to_random,10000,10000,300,0.11225697848749998,0.07463347241014406,0.11225697848749998,11.697841983562508,2500.0,5e-06,0.03596864259462304,0.03596864259462304,12.871039697198153,2500.0,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,50000,50000,300,0.06320698255628031,0.04620743875775173,0.06320698255628031,12.513505025125637,12500.000000000002,1e-06,0.01880858852697605,0.01880858852697605,13.1135379125626,12500.000000000002,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,100000,100000,300,0.05266412175750595,0.04057208386134854,0.05266412175750595,12.766633884970576,12500.000000000002,1e-06,0.010948518153467188,0.010948518153467188,12.89644508957033,12500.000000000002,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,250000,250000,300,0.03809069354406226,0.030640116994675073,0.03809069354406226,12.891967353953216,12500.000000000002,1e-06,0.004215539655958704,0.004215539655958704,12.979075041745508,12500.000000000002,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,500000,500000,300,0.03307833343047379,0.029100189595913498,0.03307833343047379,13.020833333334691,12500.000000000002,1e-06,0.006415915552602941,0.006415915552602941,13.021860867372249,12500.000000000002,PRE-PAPER-FINAL-R6-DRFIX
all,bts_to_random,12357200,full,15,0.01409054636727396,0.001924313833049982,0.01409054636727396,13.157894736842106,12500.000000000002,1e-06,0.001611173694205496,0.001611173694205496,12.953367875647668,12500.000000000002,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,10000,10000,300,0.19951093928294228,0.17456230524695654,0.19951093928294228,15.685088000000203,19.4448,0.0125,0.16257688077667826,0.16257688077667826,15.442036800000002,19.4448,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,50000,50000,300,0.16990492400952426,0.1723433366691243,0.16990492400952426,15.947199999999999,19.4448,0.0125,0.16267988676903095,0.16267988676903095,15.873600000000001,19.4448,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,100000,100000,300,0.16875086704817044,0.17080220472082197,0.16875086704817044,15.947199999999999,19.4448,0.0125,0.16196044933699952,0.16196044933699952,15.873600000000001,19.4448,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,250000,250000,300,0.1647336880991406,0.17103234019693536,0.1647336880991406,15.947199999999999,19.4448,0.0125,0.16196607258231657,0.16196607258231657,15.873600000000001,19.4448,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,500000,500000,300,0.16535950551745396,0.17194857449986717,0.16535950551745396,15.947199999999999,19.4448,0.0125,0.16223775524478765,0.16223775524478765,15.873600000000001,19.4448,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,1374327,full,15,0.16456536099217364,0.17162998594107398,0.16456536099217364,15.947199999999999,19.4448,0.0125,0.1621912270521354,0.1621912270521354,15.8736,19.4448,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,10000,10000,240,0.09566075459484935,0.09287791688485414,0.09566075459484935,11.342954554657528,29411.764705882353,1e-06,0.04446193916903725,0.04446193916903725,12.29814804348597,29411.764705882353,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,50000,50000,240,0.06530317659752531,0.06301428178080962,0.06530317659752531,12.202144762656436,29411.764705882353,1e-06,0.023325958395879462,0.023325958395879462,12.334952334923678,29411.764705882353,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,100000,100000,240,0.056263298063436794,0.057170725539592446,0.056263298063436794,12.093478908335973,29411.764705882353,1e-06,0.01498456209975639,0.01498456209975639,12.282603110305354,29411.764705882353,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,250000,250000,240,0.048055573945193816,0.04827417938277276,0.048055573945193816,12.174722418024423,29411.764705882353,1e-06,0.010061502149646505,0.010061502149646505,12.323709875931039,29411.764705882353,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,500000,500000,240,0.039496265890797216,0.043198401203085574,0.039496265890797216,12.357884330202669,29411.764705882353,1e-06,0.0010038487809413855,0.0010038487809413855,12.364467852537839,29411.764705882353,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,4077727,full,12,0.01963233227229749,0.005991163820253854,0.01963233227229749,12.396964115426318,29411.764705882353,1e-06,0.0003710624920137249,0.0003710624920137249,12.38390092879257,29411.764705882353,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,10000,10000,300,0.2594232850304677,0.24502246514337417,0.2594232850304677,9.710400000000018,10.68042000000002,0.0294117647058823,0.2484256328081454,0.2484256328081454,9.85590300000002,10.68042000000002,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,50000,50000,300,0.2544808062588939,0.23857368791886538,0.2544808062588939,9.710400000000018,10.68042000000002,0.0294117647058823,0.24739477480775035,0.24739477480775035,9.710400000000018,10.68042000000002,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,100000,100000,300,0.25404283730597654,0.23881007568718318,0.25404283730597654,9.710400000000018,10.68042000000002,0.0294117647058823,0.24743430722246235,0.24743430722246235,9.710400000000018,10.68042000000002,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,250000,250000,300,0.2534747083024499,0.23836297600158105,0.2534747083024499,9.710400000000018,10.68042000000002,0.0294117647058823,0.24743482952425544,0.24743482952425544,9.710400000000018,10.68042000000002,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,452949,full,15,0.25357600986788903,0.2381399745083558,0.25357600986788903,9.710400000000018,10.68042000000002,0.0294117647058823,0.2474164973750788,0.2474164973750788,9.710400000000018,10.68042000000002,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,10000,10000,180,0.12255266455634835,0.08282216643188632,0.12255266455634835,11.472931641667007,1449.2753623188405,1.5e-05,0.04381170046424553,0.04381170046424553,12.512749860973923,1449.2753623188405,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,50000,50000,180,0.06300485376180541,0.04779103415841204,0.06300485376180541,12.227271789014504,21739.130434782608,1e-06,0.02602458377837698,0.02602458377837698,12.451769560905944,21739.130434782608,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,100000,100000,180,0.05138009340390558,0.04058238734928772,0.05138009340390558,12.155682941334844,21739.130434782608,1e-06,0.01705770098525878,0.01705770098525878,12.386996958812755,21739.130434782608,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,250000,250000,180,0.038970122429934945,0.030553938610529997,0.038970122429934945,12.282737503947125,21739.130434782608,1e-06,0.00837252754221582,0.00837252754221582,12.382714812626672,21739.130434782608,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,500000,500000,180,0.030248631544245855,0.025122091164481018,0.030248631544245855,12.281994595923072,21739.130434782608,1e-06,0.008098149752349494,0.008098149752349494,12.38321597271805,21739.130434782608,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,7765497,full,9,0.015034680233384175,0.023045512058427177,0.015034680233384175,12.31678778174722,21739.130434782608,1e-06,0.0007737616568683254,0.0007737616568683254,12.422360248447204,21739.130434782608,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,10000,10000,240,0.20731750358479173,0.1963087436314498,0.20731750358479173,10.069860000000004,12.556620000000004,0.0217391304347826,0.19810914697525367,0.19810914697525367,10.069860000000004,12.556620000000004,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,50000,50000,240,0.2022468570469981,0.19544228742516884,0.2022468570469981,10.069860000000004,12.556620000000004,0.0217391304347826,0.19880524796915924,0.19880524796915924,10.069860000000004,12.556620000000004,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,100000,100000,240,0.20169525371878377,0.19581437088320347,0.20169525371878377,10.069860000000004,12.556620000000004,0.0217391304347826,0.19826253937363766,0.19826253937363766,10.069860000000004,12.556620000000004,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,250000,250000,240,0.20044079249145877,0.1948707920323995,0.20044079249145877,10.069860000000004,12.556620000000004,0.0217391304347826,0.19848147765611207,0.19848147765611207,10.069860000000004,12.556620000000004,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,500000,500000,240,0.20048077198178255,0.1954520181554296,0.20048077198178255,10.069860000000004,12.556620000000004,0.0217391304347826,0.19848432501947694,0.19848432501947694,10.069860000000004,12.556620000000004,PRE-PAPER-FINAL-R6-DRFIX
