group,n_random,n_bts,clicks_random,clicks_bts,population_weight_raw,v_random,v_bts,v0_ref,v1_ref,delta_ref,ref_se,ref_ci_lower,ref_ci_upper,ref_ci_width,reference_status,reference_interval_method,population_weight,campaign,direction,metrics_version,runner_revision
0,177228,1589804,668,8365,1767032,0.0037691561152865235,0.005261654895823636,0.0037691561152865235,0.005261654895823636,0.0014924987805371125,0.0001564586952176386,0.0011760480039279824,0.001789814096561677,0.0006137660926336947,beneficial,newcombe_wilson_difference,0.12868430437488854,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
1,177313,1590331,671,7734,1767644,0.003784268496951718,0.0048631385541752,0.003784268496951718,0.0048631385541752,0.001078870057223482,0.00015589936495864548,0.0007634535331705554,0.0013750239742016954,0.00061157044103114,beneficial,newcombe_wilson_difference,0.12872887334380217,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
2,177290,1590008,645,7883,1767298,0.0036381070562355464,0.0049578366901298606,0.0036381070562355464,0.0049578366901298606,0.0013197296338943142,0.00015345572931572455,0.0010091414495577724,0.0016111439820819713,0.0006020025325241989,beneficial,newcombe_wilson_difference,0.1287036758548412,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
3,104093,935008,348,4367,1039101,0.0033431642857829056,0.0046705482733837575,0.0033431642857829056,0.0046705482733837575,0.001327383987600852,0.00019230596296396048,0.0009336234443541626,0.0016885350493464242,0.0007549116049922616,beneficial,newcombe_wilson_difference,0.07567264733193912,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
4,104126,935211,340,4632,1039337,0.0032652747632675796,0.004952892983508535,0.0032652747632675796,0.004952892983508535,0.001687618220240955,0.000191118473397311,0.0012963024115590096,0.0020465764556332265,0.0007502740440742169,beneficial,newcombe_wilson_difference,0.07568983405851366,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
5,104131,935157,320,4486,1039288,0.003073052213077758,0.0047970554676915215,0.003073052213077758,0.0047970554676915215,0.0017240032546137637,0.00018581116156888465,0.0013431107820005494,0.002072617515852702,0.0007295067338521524,beneficial,newcombe_wilson_difference,0.07568626562799607,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
6,40823,369117,119,1721,409940,0.0029150233936751343,0.004662478292790633,0.0029150233936751343,0.004662478292790633,0.001747454899115499,0.0002894318408759384,0.0011366754928243401,0.0022759969554926054,0.0011393214626682652,beneficial,newcombe_wilson_difference,0.02985392666088775,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
7,40838,369158,129,1767,409996,0.0031588226651647973,0.004786568352846207,0.0031588226651647973,0.004786568352846207,0.0016277456876814095,0.00030001643580269537,0.0009961466287971067,0.002176749998574639,0.0011806033697775325,beneficial,newcombe_wilson_difference,0.029858004867193574,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
8,40845,369181,140,1741,410026,0.003427592116538132,0.004715843989804459,0.003427592116538132,0.004715843989804459,0.0012882518732663267,0.00031039165858141377,0.000636088893706668,0.0018571510574136455,0.0012210621637069774,beneficial,newcombe_wilson_difference,0.029860189620571697,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
9,133622,1204527,482,5801,1338149,0.003607190432713176,0.004815998313030758,0.003607190432713176,0.004815998313030758,0.0012088078803175815,0.00017571880421069362,0.0008512956800495982,0.0015408165021319582,0.00068952082208236,beneficial,newcombe_wilson_difference,0.09745085160594302,all,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
