group,n,population_weight,v0_true,v1_true,delta_true,fraction_pointwise_delta_negative,dataset,candidate_variant,group_scheme,outer_seed
0,108,0.10009267840593142,0.48772659966673826,0.6510455530610891,0.16331895339435076,0.2777777777777778,digits,natural,10_20_70,20260823
1,216,0.20018535681186284,0.8203396125036038,0.8425719153117771,0.02223230280817334,0.17592592592592593,digits,natural,10_20_70,20260823
2,755,0.6997219647822057,0.9207660751652552,0.9394044078133765,0.01863833264812129,0.046357615894039736,digits,natural,10_20_70,20260823
-1,1079,1.0,0.857318086945833,0.8911573506367384,0.03383926369090537,0.09545875810936053,digits,natural,10_20_70,20260823
0,108,0.10009267840593142,0.48772659966673826,0.41205582812723845,-0.07567077153949978,0.6574074074074074,digits,local_stress,10_20_70,20260823
1,216,0.20018535681186284,0.8203396125036038,0.842571915311777,0.022232302808173347,0.17592592592592593,digits,local_stress,10_20_70,20260823
2,755,0.6997219647822057,0.9207660751652552,0.9394044078133765,0.018638332648121293,0.046357615894039736,digits,local_stress,10_20_70,20260823
-1,1079,1.0,0.857318086945833,0.8672362289566125,0.009918142010779462,0.1334569045412419,digits,local_stress,10_20_70,20260823
0,162,0.15013901760889714,0.5706612604680337,0.6999866020493706,0.12932534158133693,0.24691358024691357,digits,natural,15_25_60,20260823
1,270,0.25023169601482853,0.8725400810475158,0.8794080515689159,0.0068679705214001125,0.15185185185185185,digits,natural,15_25_60,20260823
2,647,0.5996292863762743,0.9227407569333896,0.9439270137271025,0.021186256793712954,0.03400309119010819,digits,natural,15_25_60,20260823
-1,1079,1.0,0.857318086945833,0.8911573506367384,0.03383926369090537,0.09545875810936053,digits,natural,15_25_60,20260823
0,162,0.15013901760889714,0.5706612604680337,0.43546801362832327,-0.13519324683971046,0.7654320987654321,digits,local_stress,15_25_60,20260823
1,270,0.25023169601482853,0.8725400810475158,0.8794080515689159,0.006867970521400114,0.15185185185185185,digits,local_stress,15_25_60,20260823
2,647,0.5996292863762743,0.9227407569333896,0.9439270137271025,0.021186256793712954,0.03400309119010819,digits,local_stress,15_25_60,20260823
-1,1079,1.0,0.857318086945833,0.8514427896319101,-0.005875297313922878,0.17330861909175163,digits,local_stress,15_25_60,20260823
0,216,0.20018535681186284,0.636050964781647,0.7320760906421464,0.09602512586049947,0.24074074074074073,digits,natural,20_30_50,20260823
1,324,0.3002780352177943,0.8941139738844949,0.9060008864248071,0.011886912540312473,0.11419753086419752,digits,natural,20_30_50,20260823
2,539,0.4995366079703429,0.9238706491338438,0.9459852663389602,0.02211461720511645,0.025974025974025976,digits,natural,20_30_50,20260823
-1,1079,1.0,0.857318086945833,0.8911573506367384,0.03383926369090537,0.09545875810936053,digits,natural,20_30_50,20260823
0,216,0.20018535681186284,0.636050964781647,0.4528309183705005,-0.18322004641114645,0.8240740740740741,digits,local_stress,20_30_50,20260823
1,324,0.3002780352177943,0.8941139738844949,0.9060008864248071,0.011886912540312475,0.11419753086419752,digits,local_stress,20_30_50,20260823
2,539,0.4995366079703429,0.9238706491338438,0.9459852663389602,0.022114617205116455,0.025974025974025976,digits,local_stress,20_30_50,20260823
-1,1079,1.0,0.857318086945833,0.8352565561875489,-0.02206153075828417,0.21223354958294718,digits,local_stress,20_30_50,20260823
0,11,0.102803738317757,0.6208146046330293,0.6120055065100112,-0.008809098123018182,0.36363636363636365,wine,natural,10_20_70,20270823
1,21,0.19626168224299065,0.8513819617123277,0.9479903914163978,0.09660842970407031,0.09523809523809523,wine,natural,10_20_70,20270823
2,75,0.7009345794392523,0.9357201679254645,0.9611669142688581,0.025446746343393417,0.02666666666666667,wine,natural,10_20_70,20270823
-1,107,1.0,0.8867943405731966,0.9226857697338209,0.035891429160624135,0.07476635514018691,wine,natural,10_20_70,20270823
0,11,0.102803738317757,0.6208146046330293,0.4816679527138666,-0.13914665191916276,0.8181818181818182,wine,local_stress,10_20_70,20270823
1,21,0.19626168224299065,0.8513819617123277,0.9479903914163978,0.09660842970407031,0.09523809523809523,wine,local_stress,10_20_70,20270823
2,75,0.7009345794392523,0.9357201679254645,0.9611669142688581,0.025446746343393417,0.02666666666666667,wine,local_stress,10_20_70,20270823
-1,107,1.0,0.8867943405731966,0.9092865819603854,0.022492241387188718,0.12149532710280374,wine,local_stress,10_20_70,20270823
0,16,0.14953271028037382,0.6808507827447767,0.7194469041786752,0.03859612143389859,0.25,wine,natural,15_25_60,20270823
1,27,0.2523364485981308,0.8835608608989434,0.952988160899404,0.06942730000046056,0.07407407407407407,wine,natural,15_25_60,20270823
2,64,0.5981308411214953,0.9396443542678773,0.9607116648496269,0.021067310581749543,0.03125,wine,natural,15_25_60,20270823
-1,107,1.0,0.8867943405731966,0.9226857697338209,0.035891429160624135,0.07476635514018691,wine,natural,15_25_60,20270823
0,16,0.14953271028037382,0.6808507827447767,0.5129848079525906,-0.16786597479218604,0.875,wine,local_stress,15_25_60,20270823
1,27,0.2523364485981308,0.8835608608989434,0.952988160899404,0.06942730000046056,0.07407407407407407,wine,local_stress,15_25_60,20270823
2,64,0.5981308411214953,0.9396443542678773,0.9607116648496269,0.021067310581749543,0.03125,wine,local_stress,15_25_60,20270823
-1,107,1.0,0.8867943405731966,0.891812932914967,0.005018592341770366,0.16822429906542055,wine,local_stress,15_25_60,20270823
0,22,0.205607476635514,0.7267429181193751,0.7804093537820066,0.053666435662631455,0.22727272727272727,wine,natural,20_30_50,20270823
1,32,0.29906542056074764,0.9053638934531066,0.959155975557964,0.05379208210485733,0.03125,wine,natural,20_30_50,20270823
2,53,0.4953271028037383,0.9420189745699319,0.9597241577445254,0.017705183174593516,0.03773584905660377,wine,natural,20_30_50,20270823
-1,107,1.0,0.8867943405731966,0.9226857697338209,0.035891429160624135,0.07476635514018691,wine,natural,20_30_50,20270823
0,22,0.205607476635514,0.7267429181193751,0.5316129603349776,-0.19512995778439743,0.9090909090909091,wine,local_stress,20_30_50,20270823
1,32,0.29906542056074764,0.9053638934531066,0.959155975557964,0.053792082104857336,0.03125,wine,local_stress,20_30_50,20270823
2,53,0.4953271028037383,0.9420189745699319,0.9597241577445254,0.01770518317459352,0.03773584905660377,wine,local_stress,20_30_50,20270823
-1,107,1.0,0.8867943405731966,0.8715313710811606,-0.015262969492036007,0.21495327102803738,wine,local_stress,20_30_50,20270823
0,35,0.1023391812865497,0.6297921944630341,0.6679725008495448,0.038180306386510876,0.2857142857142857,breast_cancer,natural,10_20_70,20280823
1,68,0.19883040935672514,0.8728777239709838,0.9343701756034812,0.06149245163249749,0.08823529411764706,breast_cancer,natural,10_20_70,20280823
2,239,0.6988304093567251,0.9557841963800804,0.973245449553384,0.017461253173303534,0.012552301255230125,breast_cancer,natural,10_20_70,20280823
-1,342,1.0,0.9059381139505038,0.9342744792807882,0.028336365330284368,0.05555555555555555,breast_cancer,natural,10_20_70,20280823
0,35,0.1023391812865497,0.6297921944630341,0.5335945001699088,-0.09619769429312508,0.7428571428571429,breast_cancer,local_stress,10_20_70,20280823
1,68,0.19883040935672514,0.8728777239709838,0.9343701756034812,0.06149245163249749,0.08823529411764706,breast_cancer,local_stress,10_20_70,20280823
2,239,0.6988304093567251,0.9557841963800804,0.973245449553384,0.017461253173303534,0.012552301255230125,breast_cancer,local_stress,10_20_70,20280823
-1,342,1.0,0.9059381139505038,0.920522344708311,0.014584230757807006,0.1023391812865497,breast_cancer,local_stress,10_20_70,20280823
0,52,0.15204678362573099,0.7061817920696929,0.7449055283450761,0.0387237362753831,0.23076923076923078,breast_cancer,natural,15_25_60,20280823
1,85,0.24853801169590642,0.9025342630130596,0.9548590053393519,0.05232474232629214,0.058823529411764705,breast_cancer,natural,15_25_60,20280823
2,205,0.5994152046783626,0.9580193630601864,0.9737744828597108,0.015755119799524396,0.00975609756097561,breast_cancer,natural,15_25_60,20280823
-1,342,1.0,0.9059381139505038,0.9342744792807882,0.028336365330284368,0.05555555555555555,breast_cancer,natural,15_25_60,20280823
0,52,0.15204678362573099,0.7061817920696929,0.5489811056690151,-0.1572006864006777,0.8269230769230769,breast_cancer,local_stress,15_25_60,20280823
1,85,0.24853801169590642,0.9025342630130596,0.9548590053393519,0.05232474232629214,0.058823529411764705,breast_cancer,local_stress,15_25_60,20280823
2,205,0.5994152046783626,0.9580193630601864,0.9737744828597108,0.015755119799524396,0.00975609756097561,breast_cancer,local_stress,15_25_60,20280823
-1,342,1.0,0.9059381139505038,0.9044848009791648,-0.0014533129713389125,0.14619883040935672,breast_cancer,local_stress,15_25_60,20280823
0,69,0.20175438596491227,0.7399565454232507,0.7842739754908642,0.04431743006761338,0.2028985507246377,breast_cancer,natural,20_30_50,20280823
1,102,0.2982456140350877,0.9291651614073605,0.9694514415580167,0.04028628015065615,0.0392156862745098,breast_cancer,natural,20_30_50,20280823
2,171,0.5,0.9590584027679371,0.9738182489253935,0.01475984615745616,0.005847953216374269,breast_cancer,natural,20_30_50,20280823
-1,342,1.0,0.9059381139505038,0.9342744792807882,0.028336365330284368,0.05555555555555555,breast_cancer,natural,20_30_50,20280823
0,69,0.20175438596491227,0.7399565454232507,0.5568547950981729,-0.1831017503250779,0.855072463768116,breast_cancer,local_stress,20_30_50,20280823
1,102,0.2982456140350877,0.9291651614073605,0.9694514415580167,0.04028628015065615,0.0392156862745098,breast_cancer,local_stress,20_30_50,20280823
2,171,0.5,0.9590584027679371,0.9738182489253935,0.01475984615745616,0.005847953216374269,breast_cancer,local_stress,20_30_50,20280823
-1,342,1.0,0.9059381139505038,0.8883916621840172,-0.017546451766486684,0.1871345029239766,breast_cancer,local_stress,20_30_50,20280823
