scenario,level,method,nominal,empirical
S0_clean,base,bb_dm,0.5,0.112125
S0_clean,base,bb_dm,0.6,0.135875
S0_clean,base,bb_dm,0.7,0.1625
S0_clean,base,bb_dm,0.8,0.19425
S0_clean,base,bb_dm,0.9,0.23475
S0_clean,base,bb_dm,0.95,0.2625
S0_clean,base,bb_dm,0.975,0.282875
S0_clean,base,bb_dm,0.99,0.303375
S0_clean,base,bb_dr,0.5,0.506125
S0_clean,base,bb_dr,0.6,0.6
S0_clean,base,bb_dr,0.7,0.697125
S0_clean,base,bb_dr,0.8,0.79775
S0_clean,base,bb_dr,0.9,0.899
S0_clean,base,bb_dr,0.95,0.94925
S0_clean,base,bb_dr,0.975,0.97325
S0_clean,base,bb_dr,0.99,0.98725
S0_clean,base,bootstrap_dr,0.5,0.5075
S0_clean,base,bootstrap_dr,0.6,0.5995
S0_clean,base,bootstrap_dr,0.7,0.6975
S0_clean,base,bootstrap_dr,0.8,0.796875
S0_clean,base,bootstrap_dr,0.9,0.8985
S0_clean,base,bootstrap_dr,0.95,0.951
S0_clean,base,bootstrap_dr,0.975,0.973125
S0_clean,base,bootstrap_dr,0.99,0.988625
S0_clean,base,bootstrap_snips,0.5,0.497125
S0_clean,base,bootstrap_snips,0.6,0.595375
S0_clean,base,bootstrap_snips,0.7,0.695625
S0_clean,base,bootstrap_snips,0.8,0.795125
S0_clean,base,bootstrap_snips,0.9,0.8985
S0_clean,base,bootstrap_snips,0.95,0.948
S0_clean,base,bootstrap_snips,0.975,0.974
S0_clean,base,bootstrap_snips,0.99,0.987625
S1_overlap,good,bb_dm,0.5,0.1190625
S1_overlap,good,bb_dm,0.6,0.149375
S1_overlap,good,bb_dm,0.7,0.179375
S1_overlap,good,bb_dm,0.8,0.2075
S1_overlap,good,bb_dm,0.9,0.243125
S1_overlap,good,bb_dm,0.95,0.2646875
S1_overlap,good,bb_dm,0.975,0.2834375
S1_overlap,good,bb_dm,0.99,0.298125
S1_overlap,good,bb_dr,0.5,0.499375
S1_overlap,good,bb_dr,0.6,0.593125
S1_overlap,good,bb_dr,0.7,0.69375
S1_overlap,good,bb_dr,0.8,0.7921875
S1_overlap,good,bb_dr,0.9,0.8859375
S1_overlap,good,bb_dr,0.95,0.94
S1_overlap,good,bb_dr,0.975,0.968125
S1_overlap,good,bb_dr,0.99,0.985625
S1_overlap,good,bootstrap_dr,0.5,0.503125
S1_overlap,good,bootstrap_dr,0.6,0.595625
S1_overlap,good,bootstrap_dr,0.7,0.6953125
S1_overlap,good,bootstrap_dr,0.8,0.7975
S1_overlap,good,bootstrap_dr,0.9,0.8865625
S1_overlap,good,bootstrap_dr,0.95,0.9403125
S1_overlap,good,bootstrap_dr,0.975,0.969375
S1_overlap,good,bootstrap_dr,0.99,0.9853125
S1_overlap,good,bootstrap_snips,0.5,0.506875
S1_overlap,good,bootstrap_snips,0.6,0.6015625
S1_overlap,good,bootstrap_snips,0.7,0.6971875
S1_overlap,good,bootstrap_snips,0.8,0.795625
S1_overlap,good,bootstrap_snips,0.9,0.896875
S1_overlap,good,bootstrap_snips,0.95,0.948125
S1_overlap,good,bootstrap_snips,0.975,0.9715625
S1_overlap,good,bootstrap_snips,0.99,0.9875
S1_overlap,moderate,bb_dm,0.5,0.109375
S1_overlap,moderate,bb_dm,0.6,0.1303125
S1_overlap,moderate,bb_dm,0.7,0.1603125
S1_overlap,moderate,bb_dm,0.8,0.1925
S1_overlap,moderate,bb_dm,0.9,0.2334375
S1_overlap,moderate,bb_dm,0.95,0.2590625
S1_overlap,moderate,bb_dm,0.975,0.2759375
S1_overlap,moderate,bb_dm,0.99,0.299375
S1_overlap,moderate,bb_dr,0.5,0.479375
S1_overlap,moderate,bb_dr,0.6,0.5803125
S1_overlap,moderate,bb_dr,0.7,0.678125
S1_overlap,moderate,bb_dr,0.8,0.784375
S1_overlap,moderate,bb_dr,0.9,0.891875
S1_overlap,moderate,bb_dr,0.95,0.945
S1_overlap,moderate,bb_dr,0.975,0.9728125
S1_overlap,moderate,bb_dr,0.99,0.986875
S1_overlap,moderate,bootstrap_dr,0.5,0.4875
S1_overlap,moderate,bootstrap_dr,0.6,0.5815625
S1_overlap,moderate,bootstrap_dr,0.7,0.6809375
S1_overlap,moderate,bootstrap_dr,0.8,0.7865625
S1_overlap,moderate,bootstrap_dr,0.9,0.89
S1_overlap,moderate,bootstrap_dr,0.95,0.9471875
S1_overlap,moderate,bootstrap_dr,0.975,0.9721875
S1_overlap,moderate,bootstrap_dr,0.99,0.9890625
S1_overlap,moderate,bootstrap_snips,0.5,0.4996875
S1_overlap,moderate,bootstrap_snips,0.6,0.599375
S1_overlap,moderate,bootstrap_snips,0.7,0.6990625
S1_overlap,moderate,bootstrap_snips,0.8,0.7915625
S1_overlap,moderate,bootstrap_snips,0.9,0.898125
S1_overlap,moderate,bootstrap_snips,0.95,0.94875
S1_overlap,moderate,bootstrap_snips,0.975,0.971875
S1_overlap,moderate,bootstrap_snips,0.99,0.9871875
S1_overlap,poor,bb_dm,0.5,0.105
S1_overlap,poor,bb_dm,0.6,0.129375
S1_overlap,poor,bb_dm,0.7,0.1571875
S1_overlap,poor,bb_dm,0.8,0.19125
S1_overlap,poor,bb_dm,0.9,0.2271875
S1_overlap,poor,bb_dm,0.95,0.250625
S1_overlap,poor,bb_dm,0.975,0.273125
S1_overlap,poor,bb_dm,0.99,0.294375
S1_overlap,poor,bb_dr,0.5,0.5053125
S1_overlap,poor,bb_dr,0.6,0.601875
S1_overlap,poor,bb_dr,0.7,0.698125
S1_overlap,poor,bb_dr,0.8,0.8025
S1_overlap,poor,bb_dr,0.9,0.90625
S1_overlap,poor,bb_dr,0.95,0.950625
S1_overlap,poor,bb_dr,0.975,0.974375
S1_overlap,poor,bb_dr,0.99,0.98875
S1_overlap,poor,bootstrap_dr,0.5,0.5053125
S1_overlap,poor,bootstrap_dr,0.6,0.6021875
S1_overlap,poor,bootstrap_dr,0.7,0.700625
S1_overlap,poor,bootstrap_dr,0.8,0.804375
S1_overlap,poor,bootstrap_dr,0.9,0.9021875
S1_overlap,poor,bootstrap_dr,0.95,0.9496875
S1_overlap,poor,bootstrap_dr,0.975,0.973125
S1_overlap,poor,bootstrap_dr,0.99,0.9871875
S1_overlap,poor,bootstrap_snips,0.5,0.4965625
S1_overlap,poor,bootstrap_snips,0.6,0.6025
S1_overlap,poor,bootstrap_snips,0.7,0.7028125
