scenario,level,method,harmful_exposure,deployment_coverage
S2_rare_heterogeneous,balanced,bb_dm,0.0,0.66779
S2_rare_heterogeneous,balanced,bb_dr,0.0,0.66779
S2_rare_heterogeneous,balanced,bb_dr_complete_pool,0.32598106250000003,0.98125
S2_rare_heterogeneous,balanced,bb_dr_ess_safeguard,0.0,0.66779
S2_rare_heterogeneous,balanced,bb_dr_independent,0.0,0.66779
S2_rare_heterogeneous,balanced,bootstrap_dr,0.0,0.66779
S2_rare_heterogeneous,balanced,bootstrap_snips,0.0,0.66779
S2_rare_heterogeneous,balanced,hier_eb_dr,0.0,0.66779
S2_rare_heterogeneous,balanced,snips_asym_lcb,0.0,0.66779
S2_rare_heterogeneous,mild,bb_dm,0.0,0.8515900000000001
S2_rare_heterogeneous,mild,bb_dr,0.0,0.8515900000000001
S2_rare_heterogeneous,mild,bb_dr_complete_pool,0.14841,1.0
S2_rare_heterogeneous,mild,bb_dr_ess_safeguard,0.0,0.8515900000000001
S2_rare_heterogeneous,mild,bb_dr_independent,0.0,0.8515900000000001
S2_rare_heterogeneous,mild,bootstrap_dr,0.0,0.8515900000000001
S2_rare_heterogeneous,mild,bootstrap_snips,0.0,0.8515900000000001
S2_rare_heterogeneous,mild,hier_eb_dr,0.0,0.8515900000000001
S2_rare_heterogeneous,mild,snips_asym_lcb,0.0,0.8515900000000001
S2_rare_heterogeneous,rare,bb_dm,0.0,0.95109
S2_rare_heterogeneous,rare,bb_dr,0.0,0.95109
S2_rare_heterogeneous,rare,bb_dr_complete_pool,0.04891,1.0
S2_rare_heterogeneous,rare,bb_dr_ess_safeguard,0.0,0.95109
S2_rare_heterogeneous,rare,bb_dr_independent,0.0,0.95109
S2_rare_heterogeneous,rare,bootstrap_dr,0.0,0.95109
S2_rare_heterogeneous,rare,bootstrap_snips,0.0,0.95109
S2_rare_heterogeneous,rare,hier_eb_dr,0.0,0.95109
S2_rare_heterogeneous,rare,snips_asym_lcb,0.0,0.95109
S2_rare_heterogeneous,severe,bb_dm,0.0,0.99004
S2_rare_heterogeneous,severe,bb_dr,4.98e-06,0.9899936300000001
S2_rare_heterogeneous,severe,bb_dr_complete_pool,0.00996,1.0
S2_rare_heterogeneous,severe,bb_dr_ess_safeguard,4.98e-06,0.9899936300000001
S2_rare_heterogeneous,severe,bb_dr_independent,4.98e-06,0.9899936300000001
S2_rare_heterogeneous,severe,bootstrap_dr,4.98e-06,0.9899936300000001
S2_rare_heterogeneous,severe,bootstrap_snips,9.96e-06,0.9898959100000001
S2_rare_heterogeneous,severe,hier_eb_dr,0.00034362,0.99038362
S2_rare_heterogeneous,severe,snips_asym_lcb,3.984e-05,0.98992579
S2_rare_homogeneous,balanced,bb_dm,0.0,1.0
S2_rare_homogeneous,balanced,bb_dr,0.0,1.0
S2_rare_homogeneous,balanced,bb_dr_complete_pool,0.0,1.0
S2_rare_homogeneous,balanced,bb_dr_ess_safeguard,0.0,1.0
S2_rare_homogeneous,balanced,bb_dr_independent,0.0,1.0
S2_rare_homogeneous,balanced,bootstrap_dr,0.0,1.0
S2_rare_homogeneous,balanced,bootstrap_snips,0.0,1.0
S2_rare_homogeneous,balanced,hier_eb_dr,0.0,1.0
S2_rare_homogeneous,balanced,snips_asym_lcb,0.0,1.0
S2_rare_homogeneous,mild,bb_dm,0.0,1.0
S2_rare_homogeneous,mild,bb_dr,0.0,1.0
S2_rare_homogeneous,mild,bb_dr_complete_pool,0.0,1.0
S2_rare_homogeneous,mild,bb_dr_ess_safeguard,0.0,1.0
S2_rare_homogeneous,mild,bb_dr_independent,0.0,1.0
S2_rare_homogeneous,mild,bootstrap_dr,0.0,1.0
S2_rare_homogeneous,mild,bootstrap_snips,0.0,1.0
S2_rare_homogeneous,mild,hier_eb_dr,0.0,1.0
S2_rare_homogeneous,mild,snips_asym_lcb,0.0,1.0
S2_rare_homogeneous,rare,bb_dm,0.0,1.0
S2_rare_homogeneous,rare,bb_dr,0.0,0.9992957250000001
S2_rare_homogeneous,rare,bb_dr_complete_pool,0.0,1.0
S2_rare_homogeneous,rare,bb_dr_ess_safeguard,0.0,0.9992957250000001
S2_rare_homogeneous,rare,bb_dr_independent,0.0,0.9992957250000001
S2_rare_homogeneous,rare,bootstrap_dr,0.0,0.99935975
S2_rare_homogeneous,rare,bootstrap_snips,0.0,0.9992957250000001
S2_rare_homogeneous,rare,hier_eb_dr,0.0,0.9999359750000001
S2_rare_homogeneous,rare,snips_asym_lcb,0.0,0.9992957250000001
S2_rare_homogeneous,severe,bb_dm,0.0,1.0
S2_rare_homogeneous,severe,bb_dr,0.0,0.9979266250000001
S2_rare_homogeneous,severe,bb_dr_complete_pool,0.0,1.0
S2_rare_homogeneous,severe,bb_dr_ess_safeguard,0.0,0.9979266250000001
S2_rare_homogeneous,severe,bb_dr_independent,0.0,0.9979266250000001
S2_rare_homogeneous,severe,bootstrap_dr,0.0,0.99789025
S2_rare_homogeneous,severe,bootstrap_snips,0.0,0.997320375
S2_rare_homogeneous,severe,hier_eb_dr,0.0,0.999793875
S2_rare_homogeneous,severe,snips_asym_lcb,0.0,0.9974901249999999
